"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","sepal length",4.9,"cm"
"2","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","sepal width",3.6,"cm"
"3","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","petal length",1.4,"cm"
"4","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","petal width",0.1,"cm"
"5","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal length",6.9,"cm"
"6","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal width",3.1,"cm"
"7","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal length",5.1,"cm"
"8","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal width",2.3,"cm"
"9","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","sepal length",6.6,"cm"
"10","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","sepal width",2.9,"cm"
"11","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","petal length",4.6,"cm"
"12","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","petal width",1.3,"cm"
"13","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","sepal length",5.8,"cm"
"14","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","sepal width",4,"cm"
"15","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","petal length",1.2,"cm"
"16","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","petal width",0.2,"cm"
"17","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","sepal length",5.1,"cm"
"18","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","sepal width",2.5,"cm"
"19","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","petal length",3,"cm"
"20","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","petal width",1.1,"cm"
"21","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","sepal length",7.2,"cm"
"22","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","sepal width",3,"cm"
"23","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","petal length",5.8,"cm"
"24","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","petal width",1.6,"cm"
"25","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","sepal length",6.6,"cm"
"26","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","sepal width",3,"cm"
"27","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","petal length",4.4,"cm"
"28","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","petal width",1.4,"cm"
"29","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","sepal length",7.7,"cm"
"30","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","sepal width",2.8,"cm"
"31","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","petal length",6.7,"cm"
"32","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","petal width",2,"cm"
"33","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","sepal length",6.1,"cm"
"34","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","sepal width",2.6,"cm"
"35","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","petal length",5.6,"cm"
"36","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","petal width",1.4,"cm"
"37","Site2_13/02/1930","Site2_13/02/1930_A81","Edgar Anderson","sepal length",6.1,"cm"
"38","Site2_13/02/1930","Site2_13/02/1930_A81","Edgar Anderson","sepal width",3,"cm"
"39","Site2_13/02/1930","Site2_13/02/1930_A81","Edgar Anderson","petal length",4.6,"cm"
"40","Site2_13/02/1930","Site2_13/02/1930_A81","Edgar Anderson","petal width",1.4,"cm"
"41","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","sepal length",7,"cm"
"42","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","sepal width",3.2,"cm"
"43","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","petal length",4.7,"cm"
"44","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","petal width",1.4,"cm"
"45","Site2_13/02/1930","Site2_13/02/1930_A75","Edgar Anderson","sepal length",6.1,"cm"
"46","Site2_13/02/1930","Site2_13/02/1930_A75","Edgar Anderson","sepal width",2.8,"cm"
"47","Site2_13/02/1930","Site2_13/02/1930_A75","Edgar Anderson","petal length",4.7,"cm"
"48","Site2_13/02/1930","Site2_13/02/1930_A75","Edgar Anderson","petal width",1.2,"cm"
"49","Site2_13/02/1930","Site2_13/02/1930_A32","Edgar Anderson","sepal length",5.4,"cm"
"50","Site2_13/02/1930","Site2_13/02/1930_A32","Edgar Anderson","sepal width",3.7,"cm"
"51","Site2_13/02/1930","Site2_13/02/1930_A32","Edgar Anderson","petal length",1.5,"cm"
"52","Site2_13/02/1930","Site2_13/02/1930_A32","Edgar Anderson","petal width",0.2,"cm"
"53","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","sepal length",5.7,"cm"
"54","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","sepal width",3.8,"cm"
"55","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","petal length",1.7,"cm"
"56","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","petal width",0.3,"cm"
"57","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","sepal length",5.5,"cm"
"58","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","sepal width",2.3,"cm"
"59","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","petal length",4,"cm"
"60","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","petal width",1.3,"cm"
"61","Site1_01/12/1929","Site1_01/12/1929_A1","Edgar Anderson","sepal length",5.1,"cm"
"62","Site1_01/12/1929","Site1_01/12/1929_A1","Edgar Anderson","sepal width",3.5,"cm"
"63","Site1_01/12/1929","Site1_01/12/1929_A1","Edgar Anderson","petal length",1.4,"cm"
"64","Site1_01/12/1929","Site1_01/12/1929_A1","Edgar Anderson","petal width",0.3,"cm"
"65","Site1_02/12/1929","Site1_02/12/1929_A5","Edgar Anderson","sepal length",4.7,"cm"
"66","Site1_02/12/1929","Site1_02/12/1929_A5","Edgar Anderson","sepal width",3.2,"cm"
"67","Site1_02/12/1929","Site1_02/12/1929_A5","Edgar Anderson","petal length",1.6,"cm"
"68","Site1_02/12/1929","Site1_02/12/1929_A5","Edgar Anderson","petal width",0.2,"cm"
"69","Site1_02/12/1929","Site1_02/12/1929_A9","Edgar Anderson","sepal length",4.5,"cm"
"70","Site1_02/12/1929","Site1_02/12/1929_A9","Edgar Anderson","sepal width",2.3,"cm"
"71","Site1_02/12/1929","Site1_02/12/1929_A9","Edgar Anderson","petal length",1.3,"cm"
"72","Site1_02/12/1929","Site1_02/12/1929_A9","Edgar Anderson","petal width",0.3,"cm"
"73","Site1_02/12/1929","Site1_02/12/1929_A37","Edgar Anderson","sepal length",5.2,"cm"
"74","Site1_02/12/1929","Site1_02/12/1929_A37","Edgar Anderson","sepal width",3.5,"cm"
"75","Site1_02/12/1929","Site1_02/12/1929_A37","Edgar Anderson","petal length",1.5,"cm"
"76","Site1_02/12/1929","Site1_02/12/1929_A37","Edgar Anderson","petal width",0.2,"cm"
"77","Site1_02/12/1929","Site1_02/12/1929_A59","Edgar Anderson","sepal length",6.4,"cm"
"78","Site1_02/12/1929","Site1_02/12/1929_A59","Edgar Anderson","sepal width",2.9,"cm"
"79","Site1_02/12/1929","Site1_02/12/1929_A59","Edgar Anderson","petal length",4.3,"cm"
"80","Site1_02/12/1929","Site1_02/12/1929_A59","Edgar Anderson","petal width",1.3,"cm"
"81","Site2_02/12/1929","Site2_02/12/1929_A82","Edgar Anderson","sepal length",5.6,"cm"
"82","Site2_02/12/1929","Site2_02/12/1929_A82","Edgar Anderson","sepal width",2.7,"cm"
"83","Site2_02/12/1929","Site2_02/12/1929_A82","Edgar Anderson","petal length",4.2,"cm"
