"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-42.288895,-22.938775,NA,"Dactylopterus volitans"
"gbif",-43.176417,-22.994415,NA,"Dactylopterus volitans"
"gbif",6.462393,37.084909,NA,"Dactylopterus volitans"
"gbif",-67.168947,18.472243,NA,"Dactylopterus volitans"
"gbif",-44.279129,-23.014619,NA,"Dactylopterus volitans"
"gbif",-86.793512,21.144459,NA,"Dactylopterus volitans"
"gbif",-70.052447,12.604672,NA,"Dactylopterus volitans"
"gbif",-16.771705,14.029178,NA,"Dactylopterus volitans"
"gbif",23.698859,39.088752,NA,"Dactylopterus volitans"
"gbif",2.740545,39.449634,NA,"Dactylopterus volitans"
"gbif",10.877323,42.368025,NA,"Dactylopterus volitans"
"gbif",2.741765,39.448435,NA,"Dactylopterus volitans"
"gbif",2.742548,39.447788,NA,"Dactylopterus volitans"
"gbif",-81.741386,12.521525,NA,"Dactylopterus volitans"
"gbif",-3.728723,36.720843,NA,"Dactylopterus volitans"
"gbif",9.106261,41.421,NA,"Dactylopterus volitans"
"gbif",-77.153114,18.42853,NA,"Dactylopterus volitans"
"gbif",4.053591,40.05219,NA,"Dactylopterus volitans"
"gbif",20.569633,38.091298,NA,"Dactylopterus volitans"
"gbif",-54.278187,-34.6841,NA,"Dactylopterus volitans"
"gbif",23.684955,40.193427,NA,"Dactylopterus volitans"
"gbif",-58.565856,-38.55105,NA,"Dactylopterus volitans"
"gbif",-1.153926,37.540458,NA,"Dactylopterus volitans"
"gbif",1.392308,38.731004,NA,"Dactylopterus volitans"
"gbif",-63.263442,17.634067,NA,"Dactylopterus volitans"
"gbif",-63.259275,17.633238,NA,"Dactylopterus volitans"
"gbif",12.909748,41.387356,NA,"Dactylopterus volitans"
"gbif",-63.944251,44.657141,NA,"Dactylopterus volitans"
"gbif",-63.264091,17.620576,NA,"Dactylopterus volitans"
"gbif",-82.660371,9.636069,NA,"Dactylopterus volitans"
"gbif",33.005539,34.617847,NA,"Dactylopterus volitans"
